                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.6681,                 1.2099,                 1.3062,                0.67509,                0.80357,                 0.7786,                0.44978,                  1.415,                 1.1214,                 1.2166,              0.0012792,              0.0012792,              0.0012792
                     97,                 1.6143,                 1.1949,                 1.2913,                0.68847,                0.92857,                0.79382,                0.47978,                 1.3852,                 1.0742,                 1.2004,               0.001275,               0.001275,               0.001275
                     98,                 1.6876,                 1.1857,                 1.2985,                0.57409,                0.87265,                0.79904,                 0.4894,                 1.5516,                 1.2377,                 1.2494,              0.0012709,              0.0012709,              0.0012709
                     99,                 1.7981,                 1.2479,                 1.3335,                0.70727,                0.94838,                0.89431,                0.47935,                 1.4089,                 1.3575,                 1.2356,              0.0012668,              0.0012668,              0.0012668
                    100,                 1.6853,                 1.1664,                  1.306,                0.55875,                0.85714,                0.71887,                0.42701,                  1.415,                 1.5467,                 1.2583,              0.0012627,              0.0012627,              0.0012627
                    101,                 1.7548,                 1.2287,                 1.3312,                0.67636,                0.94979,                  0.945,                 0.5413,                 1.4053,                 1.4373,                 1.2556,              0.0012585,              0.0012585,              0.0012585
                    102,                 1.8005,                 1.1936,                 1.3319,                0.87345,                0.78056,                0.88121,                0.52946,                 1.5981,                 1.4527,                 1.2757,              0.0012544,              0.0012544,              0.0012544
                    103,                 1.7336,                 1.2666,                 1.3454,                0.87288,                  0.875,                   0.97,                0.56875,                 1.5281,                 1.1168,                 1.2637,              0.0012503,              0.0012503,              0.0012503
                    104,                  1.641,                 1.2149,                 1.2957,                0.61544,                0.89833,                0.83061,                0.48219,                 1.3341,                 1.2508,                 1.2072,              0.0012462,              0.0012462,              0.0012462
                    105,                 1.6193,                 1.1594,                 1.2696,                0.59886,                0.78571,                0.72532,                0.47266,                 1.3064,                  1.313,                 1.1958,               0.001242,               0.001242,               0.001242
                    106,                  1.718,                 1.2091,                 1.3013,                0.77362,                0.66071,                0.74689,                0.45141,                 1.5474,                 1.2013,                 1.2591,              0.0012379,              0.0012379,              0.0012379
